"cat_risco","quantidade"
NULL,0
"Baixo",4149
"BAIXO",1239
"alto",3
"ALTO",747
"MÉDIO",66
"Não classificada",717
"Médio",2907
"Não se aplica",2565
"Médio ",36
"Alto",3540
"baixo",3
"Não Classificada",36837
"Baixo ",3
