"uso_principal","quantidade"
"Abastecimento humano",45
"Irrigação",40
"Regularização de vazões",18
"Dessedentação animal",8
"Recreação/Turismo/Lazer",3
"Piscicultura",3
"Abastecimento industrial",2
NULL,0
