"uso_principal","count"
"PISICULTURA",1
"irrigação",46
"CONDOMINIO",32
"Abastecimento Local",2
"Abastecimento. Irrigação e Controle de Cheias",1
"Desedentação Animal",1
"LAZER E TURISMO",1
"Piscicultura",129
"CAPTAÇÃO DE ÁGUA PARA PROPRIEDADE RURAL",1
"AQUICULTOR",1737
"Barragem de Rejeito",660
