"uso_principal","quantidade"
"abastecimento lazer/sanitário ",1
"Água de Processo",1
"ABASTACIMENTO",1
"Abastecimento humano e animal da comunidade local; irrigação",1
"PISICULTURA",1
"Abastecimento. Irrigação e Controle de Cheias",1
"Desedentação Animal",1
"LAZER E TURISMO",1
"CAPTAÇÃO DE ÁGUA PARA PROPRIEDADE RURAL",1
NULL,0
