"uso_principal","quantidade"
"Irrigação",8071
"Dessedentação Animal",4446
"Abastecimento humano",1616
"Regularização de vazão",1384
"Aquicultura",1209
"Hidroelétrica",905
"Contenção de rejeitos de mineração",802
"Industrial",472
"Recreação",300
"Proteção do meio ambiente",55
"Contenção de resíduos industriais",45
"Combate às secas",42
"Defesa contra inundações",22
"Paisagismo",16
"Navegação",2
"Contenção de Sedimentos",1
