"uso_principal","quantidade"
"Irrigação",9321
"Dessedentação Animal",4654
"Abastecimento humano",1698
"Regularização de vazão",1420
"Aquicultura",1349
"Hidroelétrica",1299
"Contenção de rejeitos de mineração",858
"Industrial",535
"Recreação",455
"Paisagismo",180
"Proteção do meio ambiente",63
"Contenção de resíduos industriais",44
"Combate às secas",43
"Defesa contra inundações",26
"Contenção de Sedimentos",6
"Navegação",2
