RN - Instituto de Gestão das Águas do Estado do Rio Grande do Norte - IGARN;RN;IGARN;643;261;352;295;279;361;356;265;246;224;0;2;0;0;61;33;2;3;2;5;192;Port. 10/2017;Port. 10/2017;Port. 10/2017;Port. 10/2017;Port. 10/2017
RO - Secretaria de Estado do Desenvolvimento Ambiental - SEDAM;RO;SEDAM;120;3;119;31;15;105;105;12;9;3;1;0;0;0;0;23;0;0;2;2;350;Port. nº 379/ GAB/SEDAM;Port. nº 379/ GAB/SEDAM;Port. nº 379/ GAB/SEDAM;Port. nº 379/ GAB/SEDAM;Port. nº 379/ GAB/SEDAM
RR - Fundação Estadual do Meio Ambiente e Recursos Hídricos de Roraima - FEMARH;RR;FEMARH;61;29;7;8;3;58;58;2;4;2;0;0;0;0;0;0;1;3;1;4;120;IN nº 03/2017;IN nº 01/2017;IN nº 01/2017;IN nº 03/2017;IN nº 03/2017
RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;RS;SEMA;9975;2797;798;1219;8581;1229;129;797;2;2;0;0;0;0;0;13;8;0;12;12;139;Port. 136/2017;-;-;Port. 136/2017;-
SC - Secretaria de Estado do Desenvolvimento Econômico Sustentável – SDE;SC;SDE;59;2;57;38;3;56;56;32;9;8;4;0;0;3;0;0;0;0;3;3;125;Port. SDE nº 448/2019;Port. SDE nº 448/2019;Port. SDE nº 448/2019;Port. SDE nº 448/2019;Port. SDE nº 448/2019
SE - Secretaria de Estado de Desenvolvimento Urbano e Sustentabilidade - SEDURBS;SE;SEDURBS;103;69;69;16;34;69;68;8;8;3;4;1;4;4;0;0;0;0;3;3;0;Port. 58/2017;Port. nº 58/2017;Port. 58/2017;Port. 58/2017;Port. 58/2017
SP - Companhia Ambiental do Estado de São Paulo - CETESB;SP;CETESB;2;2;1;2;0;2;2;2;0;0;2;0;2;2;0;0;0;0;8;8;40;DD 279/2015/C;DD 279/2015/C;DD 279/2015/C;DD 279/2015/C;-
SP - Departamento de Águas e Energia Elétrica – DAEE;SP;DAEE;574;200;232;197;336;237;237;144;66;47;84;6;5;67;0;0;10;7;1;8;358;Port. nº 1634/2021;Port. nº 1634/2021;Port. nº 1634/2021;Port. nº 1634/2021;Port. nº 1634/2021
TO - Instituto Natureza do Tocantins – NATURATINS;TO;NATURATINS;803;588;778;110;350;429;429;23;14;3;1;0;0;1;0;1;3;2;1;3;0;Port. 483/2017;Port. 483/2017;Port. 483/2017;Port. 483/2017;Port. 483/2017
Agência Nacional de Águas e Saneamento Básico - ANA;FED;ANA;1135;182;516;148;894;239;239;111;61;38;63;82;39;54;17;0;4;4;4;8;108;Res. 236/2017;Res. 236/2017;Res. 236/2017;Res. 236/2017;Res. 236/2017
Agência Nacional de Energia Elétrica - ANEEL;FED;ANEEL;1303;1303;1303;774;0;1303;1303;588;2;0;722;0;162;644;0;0;1;0;21;21;209;Res. 696/2015;Res. 696/2015;Res. 696/2015;Res. 696/2015;Res 696/2015
Agência Nacional de Mineração - ANM;FED;ANM;908;908;907;457;74;821;866;254;48;39;424;0;382;268;0;0;70;38;7;45;1288;Port. nº 70389/2017;Port. nº 70389/2017;Port. nº 70389/2017;Port. nº 70389/2017;Port. nº 70389/2017
Comissão Nacional de Energia Nuclear - CNEN;FED;CNEN;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;1;4;5;0;Res nº 257/2019;Res nº 257/2019;Res nº 257/2019;Res nº 257/2019;Res nº 257/2019
;;TOTAL;22654;11488;11432;5474;12867;9451;8286;3724;1541;1219;1541;312;658;1245;180;333;187;119;138;257;7594;31;30;29;31;29
