FID,Identificacao_Ponto,Tipo_Ponto,Legenda_Vegetacao_Ponto,Latitude,Longitude,Nivel_Amostragem,Tecnica_Amostragem,Variavel_Medida_Amostragem,Forma_Geometrica_Usada_Amostra,Largura_Forma_Geometrica_Amostra_Primaria_metro,Comprimento_Forma_Geometrica_Amostra_Primaria_metro,Volume_Madeira_m3_ou_Lenha_m3stX100_por_Hectare,Total_Individuos_Ponto,Total_Especies_Ponto,the_geom
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d29,SD21YC/RB/A.110,Inventário,Sd,-15:55:34,-59:05:16,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,16.7311,100,22,POINT (-59.088479834277855 -15.926696751487555)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2a,SD21YC/RB/A.111,Inventário,Cs,-15:59:43,-59:05:38,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,191.981,206,27,POINT (-59.094407532138675 -15.995974093550377)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2b,SD21YC/RB/A.45,Inventário,Fs,-15:26:52,-59:36:10,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,26.9649,67,21,POINT (-59.60355223428986 -15.448388360552922)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2c,SD21YC/RB/A.47,Inventário,Fs,-15:04:19,-59:35:19,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,79.3075,61,30,POINT (-59.589331052014074 -15.0726299026696)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2d,SD21YC/RB/A.49,Inventário,Fs,-15:08:44,-59:31:33,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,58.3242,139,35,POINT (-59.52662199092817 -15.14602604365002)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2e,SD21YC/RB/A.5,Inventário,Sa,-15:39:08,-59:51:11,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,19.3346,102,22,POINT (-59.85370839619896 -15.652703382166466)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d2f,SD21YC/RB/A.52,Inventário,Sd,-15:55:25,-59:22:16,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,500,98.159,154,48,POINT (-59.37182221300782 -15.924175448905011)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d30,SD21YC/RB/A.53,Inventário,Fs,-15:16:43,-59:18:19,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,165.4158,96,21,POINT (-59.30597333517024 -15.279265990219049)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d31,SD21YC/RB/A.55,Inventário,Cs,-15:25:08,-59:17:13,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,18.5073,127,30,POINT (-59.28751912752066 -15.41948620620537)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d32,SD21YC/RB/A.57,Inventário,Cs,-15:41:48,-59:18:43,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,38.3875,152,37,POINT (-59.3124672748956 -15.69718704242835)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d33,SD21YC/RB/A.61,Inventário,Sa,-15:57:28,-59:16:00,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,7.1012,48,11,POINT (-59.26733824487889 -15.958377632118234)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d34,SD21YC/RB/A.63,Inventário,Sa,-15:32:35,-58:59:21,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,18.9507,117,16,POINT (-58.98971945355712 -15.54351359243998)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d35,SD21YC/RB/A.64,Inventário,Sa,-15:50:18,-59:06:13,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,9.7203,84,12,POINT (-59.10412894229148 -15.838851766618887)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d36,SD21YC/RB/A.66,Inventário,Fs,-15:21:57,-59:03:36,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,500,22.2395,119,25,POINT (-59.06068103635828 -15.366433758058323)
