FID,id_objeto,nome,nomeabrev,geometriaaproximada,emduto,tensaoeletrica,numcircuitos,especie,posicaorelativa,operacional,situacaofisica,id_produtor,id_elementoprodutor,geom
BC250_2017_Trecho_Energia_L.12,12, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,16,"MULTILINESTRING ((-39.6692074699999 -4.99999999999994, -39.682368618999895 -4.703051577999929, -39.319500816 -4.31638916399993, -39.074953056 -3.99999999999994))"
BC250_2017_Trecho_Energia_L.13,13, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,24,"MULTILINESTRING ((-38.646869341999896 -4.37042069799998, -38.640764453 -4.33292603499996, -38.636002451 -4.301300171999969, -38.633110852 -4.287100022999939, -38.629958003999896 -4.26760727399994, -38.628828864999896 -4.25744182599993, -38.623729033 -4.2302148309999605, -38.621773757999996 -4.2198125969999305, -38.621151606999895 -4.21634517799993, -38.623640161 -4.20985490099997, -38.6293605829999 -4.19735590599993, -38.631883232 -4.192357981999979, -38.6421369409999 -4.17130612999995, -38.640779329999894 -4.1448224949999695, -38.6383316019999 -4.11700888599995, -38.636976918 -4.08909229899996, -38.6364233969999 -4.06952837099993, -38.6355037549999 -4.06229780499996, -38.63424365 -4.054505565999929, -38.633865433000004 -4.05154643599997, -38.6302624209999 -4.047914100999949, -38.628133207 -4.04510270699996, -38.624511319 -4.04068706899994, -38.6211014639999 -4.034677096999929, -38.620577696999895 -4.03369085699995, -38.617496746 -4.02848226399993, -38.612177125 -4.02555296399993, -38.598543365000005 -4.01703881999993, -38.5945241389999 -4.01475261399997, -38.583959721 -4.0087968969999705, -38.5825959209999 -3.99999999999994))"
BC250_2017_Trecho_Energia_L.14,14, ,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250010,15,"MULTILINESTRING ((-38.99999999999989 -4.55394812999998, -39.125587419999896 -4.99999999999994))"
BC250_2017_Trecho_Energia_L.15,15, ,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250011,1,"MULTILINESTRING ((-47.908197402999996 -1.2925357819999599, -47.884910035000004 -1.26857944799997, -47.8682652159999 -1.2727112889999699, -47.859251156 -1.27526380399996, -47.84678931 -1.27861973799997, -47.8349223179999 -1.28170903099993, -47.8156227269999 -1.28795725199996, -47.80698944900001 -1.2898568259999499, -47.7979984209999 -1.2917567289999299, -47.7963480669999 -1.2921054669999399, -47.788146449 -1.29469579499994, -47.781400355 -1.29636229699997, -47.770026703000006 -1.30107262399997, -47.7492744909999 -1.3051932339999401, -47.7225848369999 -1.3114597449999799, -47.6945930859999 -1.31692140699994, -47.666924589000004 -1.32155428499993, -47.6480104199999 -1.32519163299997, -47.6027866749999 -1.33307677899995, -47.583690895 -1.33674825899993))"
BC250_2017_Trecho_Energia_L.16,16, ,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250011,3,"MULTILINESTRING ((-47.7377770109999 -3.24714830099992, -47.739655375000005 -3.2429324829999495, -47.768309154 -3.15127477199997, -47.80652696 -3.02750127999997, -47.806435947000004 -3.00103516699994, -47.806703843 -2.98657602299994, -47.807504478999896 -2.9716073189999297, -47.808172976 -2.96426333599993, -47.831423193 -2.95126467999995, -47.834111422999996 -2.94977536199997, -47.83417574 -2.94684321599993, -47.836367853999896 -2.94429680199994, -47.84167457 -2.9432406099999797, -47.8581576409999 -2.94008756499994, -47.8667245509999 -2.9389911089999696, -47.87474414 -2.92738469899996, -47.8999709089999 -2.8986976259999397, -47.93740989799989 -2.85404709299996, -47.937502588 -2.80045980399996, -47.9648580579999 -2.7591607129999702, -48.00162640199989 -2.73372987399995))"
BC250_2017_Trecho_Energia_L.17,17,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-2 MG,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-2 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,113,"MULTILINESTRING ((-47.434535898228155 -20.010220506079147, -47.31155619 -19.875037114))"
BC250_2017_Trecho_Energia_L.18,18,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,101,"MULTILINESTRING ((-46.25364078 -18.934938943, -46.255251647 -18.944335667, -46.261695114999995 -18.955343258, -46.273776617 -18.973062795, -46.28075704 -18.9829964739999, -46.292102831 -18.988296326, -46.300892878000006 -18.994541021000003, -46.301698310999896 -18.995614932000002, -46.304383091000005 -19.000470897))"
BC250_2017_Trecho_Energia_L.19,19,LT 230 kV CANA BRAVA /SERRA DA MESA C-1 GO,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250008,6,"MULTILINESTRING ((-48.1444159289999 -13.42440901, -48.204666929000005 -13.6785925099999, -48.285629429000004 -13.81792301))"
BC250_2017_Trecho_Energia_L.20,20,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250014,53,"MULTILINESTRING ((-48.0486851699999 -16.026822034, -48.040342884 -16.046374751, -48.022326252000006 -16.085547866000002, -48.0060287599999 -16.1055658089999, -48.000437206 -16.110957416999998, -47.832098927999894 -16.331236512))"
BC250_2017_Trecho_Energia_L.21,21,LT 500 kV GURUPI /PEIXE ANGICAL C-1 TO,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,4,"MULTILINESTRING ((-48.5354634289999 -12.188556509, -48.452259429 -12.442788509, -48.3085919289999 -12.868044508999999, -48.266080834 -13.000434055, -48.256871428999894 -13.028952509, -48.0358264289999 -13.771099009999899))"
